Team,Week1,Week2,Week3,Week4
Gotta Catch Jamaal!,106.9,110.7,106.1,115.2
,117.9,137.7,107.5,124.1
WINTER IS NEVER COMING,114.8,85.7,100.4,91.0
,117.8,114.2,148.3,97.6
Fae Cthae,134.7,122.3,107.1,119.3
,134.7,132.6,111.3,124.8
DeandreSSSS Hopkin,120.1,114.8,155.5,85.7
,121.0,129.0,166.9,102.1
The Life of Julio,110.7,96.5,73.4,150.5
,118.7,110.4,98.5,158.3
Flacco's  Favorite,75.8,96.1,164.6,104.9
,99.5,114.1,173.7,104.9
G - Lit,82.0,76.2,101.7,130.3
,101.4,83.1,125.5,131.2
Last Manning Standin,122.4,97.3,126.3,117.2
,136.4,140.7,128.4,117.3
>Fortune Favors The Bold,119.9,72.0,72.3,102.8
,160.0,103.7,115.1,102.8
>Taniquetil Eagles,136.0,116.1,99.2,155.7
,161.2,128.6,100.0,155.7
>Team  Suckerpunch,88.0,96.9,94.2,139.8
,98.7,121.4,112.5,140.7
>Do You Even Lift?,88.0,80.7,69.6,121.8
,98.7,92.6,108.0,127.7
