Team,Week1,Week2,Week3,Week4,Week5,Wins
Gotta Catch Jamaal!,106.9,110.7,106.1,91.7,119.6,4
WINTER IS NEVER COMING,114.8,85.7,100.4,74.6,93.5,1
Fae Cthae,134.7,122.3,107.1,98.2,110.2,2
. Nuke,120.1,114.8,155.5,77.5,117.6,2
The Life of Julio,110.7,96.5,73.4,129.5,78.5,2
Flacco's  Favorite,75.8,96.1,164.6,94.3,83.7,3
G - Lit,82,76.2,101.7,110.1,77.7,2
Last Manning Standin,122.4,97.3,126.3,88.1,121.9,4
>Fortune Favors The Bold,119.9,72,72.3,73.4,89.4,2
>Taniquetil Eagles,136,116.1,99.2,143.2,122.8,4
>Team  Suckerpunch,88,96.9,94.2,117.4,122.4,3
>Do You Even Lift?,88,80.7,69.6,84.7,67.3,1
