Team,Week1,Week2,Week3,Week4,week5,week6,
columbia moonshiners,146.6,121.1,138.3,130.7,100.6,59.2,3
stat corrrection ftw,125.4,128.9,139.7,113.4,112.8,140.7,4
team conley,138.2,80.9,139.3,119.9,59.5,161.6,3
gurley gates,113.8,95.5,142.5,98.5,134.6,137.2,4
abusement park,125.2,128.8,133.9,129.2,98.9,114.6,2
team fleming,127.3,96.6,95.6,108.1,182.7,102.7,3
overachieving bench,192.2,156.2,115.1,126.6,157.8,95.2,5
sir isaac scam newton,142.4,146.3,107.4,139.1,173.4,171.3,5
team mann,143.2,145.6,104.5,116.3,141.3,126.6,2
team tiny squirts,118.5,133.3,124.5,124.3,155.7,129.3,2
_offensive odors,117.6,134.7,137.7,99.9,47.5,120,2
And I was like …,131.9,113.6,110.7,111,117.9,103.8,1
