Team,Week1,Week2,Week3,Week4,Week5,Week6,Week7,Week8,Week9,Wins
Gotta Catch Jamaal!,106.9,110.7,106.1,91.7,119.6,101.9,85.4,71.6,72.7,4
WINTER IS NEVER COMING,114.8,85.7,100.4,74.6,93.5,95,70.1,60.9,131.4,3
Fae Cthae,134.7,122.3,107.1,98.2,110.2,70.5,107.7,82.3,108.5,4
DeandreSSSS Hopkin,120.1,114.8,155.5,77.5,117.6,117.1,106.9,104.7,140.2,6
The Life of Julio,110.7,96.5,73.4,129.5,78.5,102.8,142.6,90.9,129.3,6
Flacco's  Favorite,75.8,96.1,164.6,94.3,83.7,81.7,99.3,117,123.1,5
G - Lit,82,76.2,101.7,110.1,77.7,99.3,57.5,107.8,106.4,4
Last Manning Standin,122.4,97.3,126.3,88.1,121.9,88.7,110.2,136.5,94.2,6
>Fortune Favors The Bold,119.9,72,72.3,73.4,89.4,62.6,108.2,89,70.1,3
>Taniquetil Eagles,136,116.1,99.2,143.2,122.8,112.8,141.4,90.1,96.7,6
>Team  Suckerpunch,88,96.9,94.2,117.4,122.4,145.9,84.4,55.2,109,5
>Do You Even Lift?,88,80.7,69.6,84.7,67.3,71.1,19.7,100.3,70.5,2
