Team,Week1,Week2,Week3,Week4,Week5,Week6,Week7,Week8,Week9,Week10,Week11,Week12,Week13,Wins,Final standing
Gotta Catch Jamaal!,106.9,110.7,106.1,91.7,119.6,101.9,85.4,71.6,72.7,101.9,109.8,105.7,122,5,8
WINTER IS NEVER COMING,114.8,85.7,100.4,74.6,93.5,95,70.1,60.9,131.1,80.4,72.7,89.7,88.2,4,11
Fae Cthae,134.7,122.3,107.1,98.2,110.2,70.5,107.7,82.3,108.5,142.1,111,96.2,116,7,5
Show me the Evans,120.1,114.8,155.5,77.5,117.6,117.1,106.9,104.7,140.2,104.5,140.9,119.1,97.4,9,2
The Life of Julio,110.7,96.5,73.4,129.5,78.5,102.8,142.6,90.9,129.3,73.7,100.4,112.1,87.9,8,3
Flacco's  Favorite,75.8,96.1,164.6,94.3,83.7,81.7,99.3,117,123.1,135.1,104,99.4,123,8,1
G - Lit,82,76.2,101.7,110.1,77.7,99.3,57.5,107.8,106.4,106.5,69.8,85.6,79.2,5,7
Last Manning Standin,122.4,97.3,126.3,88.1,121.9,88.7,110.2,136.5,93.8,114.8,80.8,112.2,102.3,7,6
>Fortune Favors The Bold,119.9,72,72.3,73.4,89.4,62.6,108.2,89,70.1,61.7,85.5,56.9,104,4,12
>Taniquetil Eagles,136,116.1,99.2,143.2,122.8,112.8,141.4,90.1,96.7,122.1,90.9,114.9,96.9,9,4
>Team  Suckerpunch,88,96.9,94.2,117.4,122.4,145.9,84.4,55.2,109,86.5,109.9,96.1,116.4,7,10
>Do You Even Lift?,88,80.7,69.6,84.7,67.3,71.1,19.7,100.3,70.5,130.2,99,126.6,102.5,5,9
