Team,Week1,Week2,Week3,Week4
Gotta Catch Jamaal!,117.9,137.7,107.5,134.8
WINTER IS NEVER COMING,117.8,114.2,148.3,81.8
Fae Cthae,134.7,132.6,111.3,117.4
DeandreSSSS Hopkin,121.0,129.0,166.9,101.4
The Life of Julio,118.7,110.4,98.5,137.3
Flacco's  Favorite,99.5,114.1,173.7,113.5
G - Lit,101.4,83.1,125.5,124.9
Last Manning Standin,136.4,140.7,128.4,91.3
>Fortune Favors The Bold,160.0,103.7,115.1,98.7
>Taniquetil Eagles,161.2,128.6,100.0,146.5
>Team  Suckerpunch,98.7,121.4,112.5,117.4
>Do You Even Lift?,98.7,92.6,108.0,100.2
