Team,Rank,Weighted Score(Avg+3WkAvg-Std+300*%Wins),Points per Game,STD,Avereage Points in last 3 weeks,Percent of Total Wins(if you played everyone every week),Expected Wins(not used in score)(based on W-L if you played everyone every week),N/A
Gotta Catch Jamaal!, 1, 183.5, 92.7, 26.0, 81.9, 0.116, 3.5, 0.000
Fae Cthae, 2, 175.4, 97.1, 43.7, 76.1, 0.153, 4.6, 0.000
>Taniquetil Eagles, 3, 157.7, 98.9, 57.9, 80.8, 0.120, 3.6, 0.000
DeandreSSSS Hopkin, 4, 155.4, 95.0, 56.4, 80.0, 0.123, 3.7, 0.000
G - Lit, 5, 146.8, 78.4, 34.4, 77.9, 0.083, 2.5, 0.000
Last Manning Standin, 6, 136.0, 86.8, 51.2, 71.5, 0.096, 2.9, 0.000
Flacco's  Favorite, 7, 134.5, 86.2, 58.8, 86.3, 0.070, 2.1, 0.000
>Team  Suckerpunch, 8, 124.1, 79.3, 45.7, 70.5, 0.066, 2.0, 0.000
The Life of Julio, 9, 121.4, 82.0, 50.2, 67.6, 0.073, 2.2, 0.000
WINTER IS NEVER COMING, 10, 103.7, 75.1, 44.6, 58.3, 0.050, 1.5, 0.000
>Do You Even Lift?, 11, 86.2, 64.6, 36.8, 51.4, 0.023, 0.7, 0.000
>Fortune Favors The Bold, 12, 81.1, 67.5, 43.0, 48.6, 0.027, 0.8, 0.000
